Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Local Folder Creation,Creating Folders in Local,2021-04-04 19:35:00.460277,,Started,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/RawFiles/,2021-04-04 19:35:00.460277,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:35:00.460277,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/RawFiles/,2021-04-04 19:35:00.460277,,Completed,
Local Folder Creation,Creating folder: Predicting,2021-04-04 19:35:00.483278,,Predicting is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/RawFiles/,2021-04-04 19:35:00.483278,,Completed,
Local Folder Creation,Creating folder: RawFiles,2021-04-04 19:35:00.484278,,RawFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/RawFiles/,2021-04-04 19:35:00.484278,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/GoodFiles/,2021-04-04 19:35:00.484278,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:35:00.484278,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/GoodFiles/,2021-04-04 19:35:00.484278,,Completed,
Local Folder Creation,Creating folder: Predicting,2021-04-04 19:35:00.484278,,Predicting is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/GoodFiles/,2021-04-04 19:35:00.485278,,Completed,
Local Folder Creation,Creating folder: GoodFiles,2021-04-04 19:35:00.485278,,GoodFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/GoodFiles/,2021-04-04 19:35:00.485278,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/BadFiles/,2021-04-04 19:35:00.485278,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:35:00.485278,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/BadFiles/,2021-04-04 19:35:00.486278,,Completed,
Local Folder Creation,Creating folder: Predicting,2021-04-04 19:35:00.486278,,Predicting is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/BadFiles/,2021-04-04 19:35:00.486278,,Completed,
Local Folder Creation,Creating folder: BadFiles,2021-04-04 19:35:00.486278,,BadFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/BadFiles/,2021-04-04 19:35:00.486278,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/TransformedFiles/,2021-04-04 19:35:00.487279,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:35:00.487279,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/TransformedFiles/,2021-04-04 19:35:00.487279,,Completed,
Local Folder Creation,Creating folder: Predicting,2021-04-04 19:35:00.487279,,Predicting is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/TransformedFiles/,2021-04-04 19:35:00.487279,,Completed,
Local Folder Creation,Creating folder: TransformedFiles,2021-04-04 19:35:00.488279,,TransformedFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/TransformedFiles/,2021-04-04 19:35:00.488279,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/SingleFile/,2021-04-04 19:35:00.488279,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:35:00.489279,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Predicting/SingleFile/,2021-04-04 19:35:00.489279,,Completed,
Local Folder Creation,Creating folder: Predicting,2021-04-04 19:35:00.489279,,Predicting is already created,
