Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Merge,Merging all Transformed Files into Single File,2021-04-04 19:35:42.687692,,Started,
Merge,Loading Schema File,2021-04-04 19:35:42.688692,schema_prediction.json,Successfully loaded,
Merge,Loading Transformed Files,2021-04-04 19:35:42.702693,,13 are loaded successfully,
Merge,Merging all files,2021-04-04 19:35:42.702693,,Started,
Merge,Merging all files,2021-04-04 19:35:43.155719,,Completed,
Merge,Storing file,2021-04-04 19:35:43.366731,SingleFile.csv,Stored successfully into SingleFile folder,
Merge,Merging all Transformed Files into Single File,2021-04-04 19:35:43.366731,,Completed,
Merge,Merging all Transformed Files into Single File,2021-04-04 20:36:31.101370,,Started,
Merge,Loading Schema File,2021-04-04 20:36:31.102370,schema_prediction.json,Successfully loaded,
Merge,Loading Transformed Files,2021-04-04 20:36:31.150372,,13 are loaded successfully,
Merge,Merging all files,2021-04-04 20:36:31.150372,,Started,
Merge,Merging all files,2021-04-04 20:36:31.856413,,Completed,
Merge,Storing file,2021-04-04 20:36:32.132429,SingleFile.csv,Stored successfully into SingleFile folder,
Merge,Merging all Transformed Files into Single File,2021-04-04 20:36:32.132429,,Completed,
Merge,Merging all Transformed Files into Single File,2021-04-04 20:45:06.791865,,Started,
Merge,Loading Schema File,2021-04-04 20:45:06.791865,schema_prediction.json,Successfully loaded,
Merge,Loading Transformed Files,2021-04-04 20:45:06.803866,,13 are loaded successfully,
Merge,Merging all files,2021-04-04 20:45:06.803866,,Started,
Merge,Merging all files,2021-04-04 20:45:07.243891,,Completed,
Merge,Storing file,2021-04-04 20:45:07.484905,SingleFile.csv,Stored successfully into SingleFile folder,
Merge,Merging all Transformed Files into Single File,2021-04-04 20:45:07.484905,,Completed,
