Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Transform,Transforming files of GoodFiles,2021-04-04 19:35:29.098915,,Started,
Transform,Loading Good files,2021-04-04 19:35:29.099915,,13 are loaded successfully,
Transform,Rename of columnNames,2021-04-04 19:35:29.127917,mushroom_08012006_120010.csv,If any Column name has '-' replaced with empty -> ,
Transform,Pushing File,2021-04-04 19:35:29.149918,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.174919,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.203921,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.226922,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.249924,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.272925,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.295926,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.316928,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.339929,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.364930,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.387932,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.408933,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
Transform,Pushing File,2021-04-04 19:35:29.433934,mushroom_08012006_120010.csv,Transformed File is stored in 'TransformedFiles' folder,
