Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Local Folder Creation,Removing Folder in Local,2021-04-04 19:31:28.864174,,Started,
Local Folder Creation,Removing Folder in Local,2021-04-04 19:31:28.864174,,'Temp_Files' is not available,
Local Folder Creation,Removing Folder in Local,2021-04-04 19:31:28.864174,,Completed,
Local Folder Creation,Creating Folders in Local,2021-04-04 19:31:28.864174,,Started,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-04-04 19:31:28.864174,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.865174,,Temp_Files is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-04-04 19:31:28.865174,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.866175,,Training is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-04-04 19:31:28.866175,,Completed,
Local Folder Creation,Creating folder: RawFiles,2021-04-04 19:31:28.866175,,RawFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-04-04 19:31:28.866175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-04-04 19:31:28.867175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.867175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-04-04 19:31:28.867175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.867175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-04-04 19:31:28.867175,,Completed,
Local Folder Creation,Creating folder: GoodFiles,2021-04-04 19:31:28.867175,,GoodFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-04-04 19:31:28.868175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-04-04 19:31:28.868175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.868175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-04-04 19:31:28.868175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.868175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-04-04 19:31:28.868175,,Completed,
Local Folder Creation,Creating folder: BadFiles,2021-04-04 19:31:28.869175,,BadFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-04-04 19:31:28.869175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-04-04 19:31:28.869175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.869175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-04-04 19:31:28.869175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.869175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-04-04 19:31:28.870175,,Completed,
Local Folder Creation,Creating folder: TransformedFiles,2021-04-04 19:31:28.870175,,TransformedFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-04-04 19:31:28.870175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-04-04 19:31:28.870175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.871175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-04-04 19:31:28.871175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.871175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-04-04 19:31:28.871175,,Completed,
Local Folder Creation,Creating folder: SingleFile,2021-04-04 19:31:28.872175,,SingleFile is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-04-04 19:31:28.872175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:28.872175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.872175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:28.873175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.873175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:28.873175,,Completed,
Local Folder Creation,Creating folder: SchemaFile,2021-04-04 19:31:28.873175,,SchemaFile is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:28.873175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-04-04 19:31:28.874175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.874175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-04-04 19:31:28.874175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.874175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-04-04 19:31:28.874175,,Completed,
Local Folder Creation,Creating folder: LogFiles,2021-04-04 19:31:28.875175,,LogFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-04-04 19:31:28.879175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.879175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.880175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.880175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.880175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.880175,,Completed,
Local Folder Creation,Creating folder: Models,2021-04-04 19:31:28.881175,,Models is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.881175,,Completed,
Local Folder Creation,Creating folder: Clusters,2021-04-04 19:31:28.881175,,Clusters is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.882175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.882175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.882175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.882175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.882175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.883175,,Completed,
Local Folder Creation,Creating folder: Models,2021-04-04 19:31:28.883175,,Models is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.883175,,Completed,
Local Folder Creation,Creating folder: BestModels,2021-04-04 19:31:28.883175,,BestModels is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.884176,,Completed,
Local Folder Creation,Creating Folders in Local,2021-04-04 19:31:28.884176,,Completed,
AWS Connection,"Session, Resource, Client connections",2021-04-04 19:31:31.501325,,Started,
AWS Connection,Session Connection,2021-04-04 19:31:31.557328,,Session connection Successful,
AWS Connection,Resource Connection,2021-04-04 19:31:34.166478,,Resource connection Successful,
AWS Connection,Client Connection,2021-04-04 19:31:34.195479,,Client connection Successful,
Download,Downloading From: Training/RawFiles/ To: Temp_Files/Training/RawFiles/,2021-04-04 19:31:34.195479,,Started,
Download,Access Files from Bucket: mushroomclassification,2021-04-04 19:31:37.439665,,16 files are available,Downloading Files
Download,Downloading File,2021-04-04 19:31:41.777913,Training/RawFiles/mushroom_08012006_120010.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:42.337945,Training/RawFiles/mushroom_08012007_120011.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:42.910978,Training/RawFiles/mushroom_08012008_120012.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:43.483011,Training/RawFiles/mushroom_08012009_120013.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:44.084045,Training/RawFiles/mushroom_08012010_120014.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:44.722081,Training/RawFiles/mushroom_08012011_120015.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:45.319116,Training/RawFiles/mushroom_08012012_120016.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:45.883148,Training/RawFiles/mushroom_08012013_120017.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:46.459181,Training/RawFiles/mushroom_08012014_120018.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:47.065215,Training/RawFiles/mushroom_08012015_120019.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:47.645249,Training/RawFiles/mushroom_08012016_120.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:48.468296,Training/RawFiles/mushroom_08012016_120020.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:49.056329,Training/RawFiles/mushroom_08012017_120021.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:49.630362,Training/RawFiles/mushroom_08012017_1201.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:50.209395,Training/RawFiles/mushroom_08012018_120022.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:50.797429,Training/RawFiles/mushroom_08012018_120088.csv,Downloaded Successfully,
Download,Downloading From: Training/RawFiles/ To: Temp_Files/Training/RawFiles/,2021-04-04 19:31:50.797429,,Completed,16 files are downloaded successfully
AWS Connection,"Session, Resource, Client connections",2021-04-04 19:31:31.501325,,Started,
AWS Connection,Session Connection,2021-04-04 19:31:31.557328,,Session connection Successful,
AWS Connection,Resource Connection,2021-04-04 19:31:34.166478,,Resource connection Successful,
AWS Connection,Client Connection,2021-04-04 19:31:34.195479,,Client connection Successful,
Download,Downloading From: Training/RawFiles/ To: Temp_Files/Training/RawFiles/,2021-04-04 19:31:34.195479,,Started,
Download,Access Files from Bucket: mushroomclassification,2021-04-04 19:31:37.439665,,16 files are available,Downloading Files
Download,Downloading File,2021-04-04 19:31:41.777913,Training/RawFiles/mushroom_08012006_120010.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:42.337945,Training/RawFiles/mushroom_08012007_120011.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:42.910978,Training/RawFiles/mushroom_08012008_120012.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:43.483011,Training/RawFiles/mushroom_08012009_120013.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:44.084045,Training/RawFiles/mushroom_08012010_120014.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:44.722081,Training/RawFiles/mushroom_08012011_120015.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:45.319116,Training/RawFiles/mushroom_08012012_120016.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:45.883148,Training/RawFiles/mushroom_08012013_120017.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:46.459181,Training/RawFiles/mushroom_08012014_120018.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:47.065215,Training/RawFiles/mushroom_08012015_120019.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:47.645249,Training/RawFiles/mushroom_08012016_120.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:48.468296,Training/RawFiles/mushroom_08012016_120020.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:49.056329,Training/RawFiles/mushroom_08012017_120021.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:49.630362,Training/RawFiles/mushroom_08012017_1201.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:50.209395,Training/RawFiles/mushroom_08012018_120022.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:50.797429,Training/RawFiles/mushroom_08012018_120088.csv,Downloaded Successfully,
Download,Downloading From: Training/RawFiles/ To: Temp_Files/Training/RawFiles/,2021-04-04 19:31:50.797429,,Completed,16 files are downloaded successfully
