Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
AWS Connection,"Session, Resource, Client connections",2021-04-04 19:31:31.501325,,Started,
AWS Connection,Session Connection,2021-04-04 19:31:31.557328,,Session connection Successful,
AWS Connection,Resource Connection,2021-04-04 19:31:34.166478,,Resource connection Successful,
AWS Connection,Client Connection,2021-04-04 19:31:34.195479,,Client connection Successful,
Download,Downloading From: Training/RawFiles/ To: Temp_Files/Training/RawFiles/,2021-04-04 19:31:34.195479,,Started,
Download,Access Files from Bucket: mushroomclassification,2021-04-04 19:31:37.439665,,16 files are available,Downloading Files
Download,Downloading File,2021-04-04 19:31:41.777913,Training/RawFiles/mushroom_08012006_120010.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:42.337945,Training/RawFiles/mushroom_08012007_120011.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:42.910978,Training/RawFiles/mushroom_08012008_120012.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:43.483011,Training/RawFiles/mushroom_08012009_120013.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:44.084045,Training/RawFiles/mushroom_08012010_120014.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:44.722081,Training/RawFiles/mushroom_08012011_120015.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:45.319116,Training/RawFiles/mushroom_08012012_120016.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:45.883148,Training/RawFiles/mushroom_08012013_120017.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:46.459181,Training/RawFiles/mushroom_08012014_120018.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:47.065215,Training/RawFiles/mushroom_08012015_120019.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:47.645249,Training/RawFiles/mushroom_08012016_120.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:48.468296,Training/RawFiles/mushroom_08012016_120020.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:49.056329,Training/RawFiles/mushroom_08012017_120021.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:49.630362,Training/RawFiles/mushroom_08012017_1201.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:50.209395,Training/RawFiles/mushroom_08012018_120022.csv,Downloaded Successfully,
Download,Downloading File,2021-04-04 19:31:50.797429,Training/RawFiles/mushroom_08012018_120088.csv,Downloaded Successfully,
Download,Downloading From: Training/RawFiles/ To: Temp_Files/Training/RawFiles/,2021-04-04 19:31:50.797429,,Completed,16 files are downloaded successfully
Download,Downloading From: Training/SchemaFile/ To: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:51.473468,,Started,
Download,Access Files from Bucket: mushroomclassification,2021-04-04 19:31:52.117504,,1 files are available,Downloading Files
Download,Downloading File,2021-04-04 19:31:55.928722,Training/SchemaFile/schema_training.json,Downloaded Successfully,
Download,Downloading From: Training/SchemaFile/ To: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:55.928722,,Completed,1 files are downloaded successfully
AWS Connection,"Session, Resource, Client connections",2021-04-04 19:32:29.015615,,Started,
AWS Connection,Session Connection,2021-04-04 19:32:29.074618,,Session connection Successful,
AWS Connection,Resource Connection,2021-04-04 19:32:29.969669,,Resource connection Successful,
AWS Connection,Client Connection,2021-04-04 19:32:29.989671,,Client connection Successful,
Upload,Deleting Folder from Bucket,2021-04-04 19:32:38.397151,,Deleted,Folder Training/GoodFiles/ is successfully deleted from Bucket mushroomclassification
Upload,Uploading From: Temp_Files/Training/GoodFiles/ To: Training/GoodFiles/,2021-04-04 19:32:38.397151,,Started,
Upload,Uploading File,2021-04-04 19:32:39.901237,mushroom_08012006_120010.csv,Uploaded Successfully,
Upload,Uploading File,2021-04-04 19:32:41.255315,mushroom_08012007_120011.csv,Uploaded Successfully,
