Task_Name,Task_Desc,Date_Time,File_Name,Log_Message,Action_Taken
Local Folder Creation,Removing Folder in Local,2021-04-04 19:31:28.864174,,Started,
Local Folder Creation,Removing Folder in Local,2021-04-04 19:31:28.864174,,'Temp_Files' is not available,
Local Folder Creation,Removing Folder in Local,2021-04-04 19:31:28.864174,,Completed,
Local Folder Creation,Creating Folders in Local,2021-04-04 19:31:28.864174,,Started,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-04-04 19:31:28.864174,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.865174,,Temp_Files is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-04-04 19:31:28.865174,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.866175,,Training is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-04-04 19:31:28.866175,,Completed,
Local Folder Creation,Creating folder: RawFiles,2021-04-04 19:31:28.866175,,RawFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/RawFiles/,2021-04-04 19:31:28.866175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-04-04 19:31:28.867175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.867175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-04-04 19:31:28.867175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.867175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-04-04 19:31:28.867175,,Completed,
Local Folder Creation,Creating folder: GoodFiles,2021-04-04 19:31:28.867175,,GoodFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/GoodFiles/,2021-04-04 19:31:28.868175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-04-04 19:31:28.868175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.868175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-04-04 19:31:28.868175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.868175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-04-04 19:31:28.868175,,Completed,
Local Folder Creation,Creating folder: BadFiles,2021-04-04 19:31:28.869175,,BadFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/BadFiles/,2021-04-04 19:31:28.869175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-04-04 19:31:28.869175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.869175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-04-04 19:31:28.869175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.869175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-04-04 19:31:28.870175,,Completed,
Local Folder Creation,Creating folder: TransformedFiles,2021-04-04 19:31:28.870175,,TransformedFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/TransformedFiles/,2021-04-04 19:31:28.870175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-04-04 19:31:28.870175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.871175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-04-04 19:31:28.871175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.871175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-04-04 19:31:28.871175,,Completed,
Local Folder Creation,Creating folder: SingleFile,2021-04-04 19:31:28.872175,,SingleFile is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SingleFile/,2021-04-04 19:31:28.872175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:28.872175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.872175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:28.873175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.873175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:28.873175,,Completed,
Local Folder Creation,Creating folder: SchemaFile,2021-04-04 19:31:28.873175,,SchemaFile is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/SchemaFile/,2021-04-04 19:31:28.873175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-04-04 19:31:28.874175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.874175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-04-04 19:31:28.874175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.874175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-04-04 19:31:28.874175,,Completed,
Local Folder Creation,Creating folder: LogFiles,2021-04-04 19:31:28.875175,,LogFiles is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/LogFiles/,2021-04-04 19:31:28.879175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.879175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.880175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.880175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.880175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.880175,,Completed,
Local Folder Creation,Creating folder: Models,2021-04-04 19:31:28.881175,,Models is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.881175,,Completed,
Local Folder Creation,Creating folder: Clusters,2021-04-04 19:31:28.881175,,Clusters is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/Clusters/,2021-04-04 19:31:28.882175,,Completed,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.882175,,Started,
Local Folder Creation,Creating folder: Temp_Files,2021-04-04 19:31:28.882175,,Temp_Files is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.882175,,Completed,
Local Folder Creation,Creating folder: Training,2021-04-04 19:31:28.882175,,Training is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.883175,,Completed,
Local Folder Creation,Creating folder: Models,2021-04-04 19:31:28.883175,,Models is already created,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.883175,,Completed,
Local Folder Creation,Creating folder: BestModels,2021-04-04 19:31:28.883175,,BestModels is created successfully,
Local Folder Creation,Creating folder structure: Temp_Files/Training/Models/BestModels/,2021-04-04 19:31:28.884176,,Completed,
Local Folder Creation,Creating Folders in Local,2021-04-04 19:31:28.884176,,Completed,
